,VR1:VRF Heat Pump Condenser Inlet Temperature [C](Hourly),VR2:VRF Heat Pump Condenser Inlet Temperature [C](Hourly),VR3:VRF Heat Pump Condenser Inlet Temperature [C](Hourly),VR4:VRF Heat Pump Condenser Inlet Temperature [C](Hourly)
2013-11-02 16:00:00,27.7083333333333,27.7083333333333,27.7083333333333,27.7083333333333
2013-11-02 17:00:00,26.533333333333303,26.533333333333303,26.533333333333303,26.533333333333303
2013-11-02 18:00:00,25.5583333333333,25.5583333333333,25.5583333333333,25.5583333333333
2013-11-02 19:00:00,24.75,24.75,24.75,24.75
2013-11-02 20:00:00,23.9166666666667,23.9166666666667,23.9166666666667,23.9166666666667
2013-11-02 21:00:00,23.033333333333303,23.033333333333303,23.033333333333303,23.033333333333303
2013-11-02 22:00:00,22.35,22.35,22.35,22.35
2013-11-02 23:00:00,21.341666666666697,21.341666666666697,21.341666666666697,21.341666666666697
2013-11-03 00:00:00,21.2083333333333,21.2083333333333,21.2083333333333,21.2083333333333
2013-11-03 01:00:00,21.2083333333333,21.2083333333333,21.2083333333333,21.2083333333333
2013-11-03 02:00:00,20.2416666666667,20.2416666666667,20.2416666666667,20.2416666666667
2013-11-03 03:00:00,20.05,20.05,20.05,20.05
2013-11-03 04:00:00,20.1833333333333,20.1833333333333,20.1833333333333,20.1833333333333
2013-11-03 05:00:00,19.8666666666667,19.8666666666667,19.8666666666667,19.8666666666667
2013-11-03 06:00:00,19.35,19.35,19.35,19.35
2013-11-03 07:00:00,19.0416666666667,19.0416666666667,19.0416666666667,19.0416666666667
2013-11-03 08:00:00,21.216666666666697,21.216666666666697,21.216666666666697,21.216666666666697
2013-11-03 09:00:00,23.5583333333333,23.5583333333333,23.5583333333333,23.5583333333333
2013-11-03 10:00:00,25.4416666666667,25.4416666666667,25.4416666666667,25.4416666666667
2013-11-03 11:00:00,27.5083333333333,27.5083333333333,27.5083333333333,27.5083333333333
2013-11-03 12:00:00,29.0583333333333,29.0583333333333,29.0583333333333,29.0583333333333
2013-11-03 13:00:00,29.25,29.25,29.25,29.25
2013-11-03 14:00:00,29.175,29.175,29.175,29.175
2013-11-03 15:00:00,28.6,28.6,28.6,28.6
2013-11-03 16:00:00,27.283333333333303,27.283333333333303,27.283333333333303,27.283333333333303
2013-11-03 17:00:00,26.525,26.525,26.525,26.525
2013-11-03 18:00:00,26.05,26.05,26.05,26.05
2013-11-03 19:00:00,25.508333333333397,25.508333333333397,25.508333333333397,25.508333333333397
2013-11-03 20:00:00,24.95,24.95,24.95,24.95
2013-11-03 21:00:00,24.408333333333303,24.408333333333303,24.408333333333303,24.408333333333303
2013-11-03 22:00:00,23.908333333333303,23.908333333333303,23.908333333333303,23.908333333333303
2013-11-03 23:00:00,23.2916666666667,23.2916666666667,23.2916666666667,23.2916666666667
2013-11-04 00:00:00,23.0,23.0,23.0,23.0
2013-11-04 01:00:00,22.591666666666697,22.591666666666697,22.591666666666697,22.591666666666697
2013-11-04 02:00:00,22.0666666666667,22.0666666666667,22.0666666666667,22.0666666666667
2013-11-04 03:00:00,21.9583333333333,21.9583333333333,21.9583333333333,21.9583333333333
2013-11-04 04:00:00,22.233333333333302,22.233333333333302,22.233333333333302,22.233333333333302
2013-11-04 05:00:00,22.1666666666667,22.1666666666667,22.1666666666667,22.1666666666667
2013-11-04 06:00:00,21.7083333333333,21.7083333333333,21.7083333333333,21.7083333333333
2013-11-04 07:00:00,21.675,21.675,21.675,21.675
2013-11-04 08:00:00,22.266666666666698,22.266666666666698,22.266666666666698,22.266666666666698
2013-11-04 09:00:00,24.35,24.35,24.35,24.35
2013-11-04 10:00:00,26.591666666666697,26.591666666666697,26.591666666666697,26.591666666666697
2013-11-04 11:00:00,28.175,28.175,28.175,28.175
2013-11-04 12:00:00,29.091666666666697,29.091666666666697,29.091666666666697,29.091666666666697
2013-11-04 13:00:00,29.1833333333333,29.1833333333333,29.1833333333333,29.1833333333333
2013-11-04 14:00:00,29.45,29.45,29.45,29.45
2013-11-04 15:00:00,29.2916666666667,29.2916666666667,29.2916666666667,29.2916666666667
2013-11-04 16:00:00,28.591666666666697,28.591666666666697,28.591666666666697,28.591666666666697
2013-11-04 17:00:00,27.1916666666667,27.1916666666667,27.1916666666667,27.1916666666667
2013-11-04 18:00:00,25.466666666666697,25.466666666666697,25.466666666666697,25.466666666666697
2013-11-04 19:00:00,24.216666666666697,24.216666666666697,24.216666666666697,24.216666666666697
2013-11-04 20:00:00,23.3333333333333,23.3333333333333,23.3333333333333,23.3333333333333
2013-11-04 21:00:00,22.4166666666667,22.4166666666667,22.4166666666667,22.4166666666667
2013-11-04 22:00:00,21.9416666666667,21.9416666666667,21.9416666666667,21.9416666666667
2013-11-04 23:00:00,21.4916666666667,21.4916666666667,21.4916666666667,21.4916666666667
2013-11-05 00:00:00,20.908333333333303,20.908333333333303,20.908333333333303,20.908333333333303
2013-11-05 01:00:00,20.8166666666667,20.8166666666667,20.8166666666667,20.8166666666667
2013-11-05 02:00:00,21.075,21.075,21.075,21.075
2013-11-05 03:00:00,20.85,20.85,20.85,20.85
2013-11-05 04:00:00,20.425,20.425,20.425,20.425
2013-11-05 05:00:00,20.1833333333333,20.1833333333333,20.1833333333333,20.1833333333333
2013-11-05 06:00:00,20.216666666666697,20.216666666666697,20.216666666666697,20.216666666666697
2013-11-05 07:00:00,20.475,20.475,20.475,20.475
2013-11-05 08:00:00,21.766666666666698,21.766666666666698,21.766666666666698,21.766666666666698
2013-11-05 09:00:00,23.008333333333397,23.008333333333397,23.008333333333397,23.008333333333397
2013-11-05 10:00:00,23.591666666666697,23.591666666666697,23.591666666666697,23.591666666666697
2013-11-05 11:00:00,25.3166666666667,25.3166666666667,25.3166666666667,25.3166666666667
2013-11-05 12:00:00,26.575,26.575,26.575,26.575
2013-11-05 13:00:00,27.05,27.05,27.05,27.05
2013-11-05 14:00:00,27.65,27.65,27.65,27.65
2013-11-05 15:00:00,27.4916666666667,27.4916666666667,27.4916666666667,27.4916666666667
